id,created_at,updated_at,name,description,status,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,methodology,type,size,sustaincert_id,sustaincert_url,project_developer,carbon_stream,country,country_code,latitude,longitude,state,crediting_periods,programme_of_activities,sustainable_development_goals,labels,poa_project_id,poa_project_sustaincert_id,poa_project_name,fuente
4534,2024-06-07T13:42:10Z,2026-05-22T07:18:00Z,"Sistema.bio Colombia Carbon Program: Waste management, clean energy and regenerative agriculture on family farms","Sistema.bio is a social enterprise that provides access to innovative biodigester technology, training and financing to address the challenges of poverty, food security, and climate change around the world. Sistema.bio manufactures and distributes high-quality, affordable biodigesters that enable farmers around the world to convert waste into energy and fertilizer. Sistema.bio works with farmers to ensure they become more sustainable, independent, and productive while mitigating the carbon emissions generated by agricultural activities. This program will provide a wide range of social, economic and environmental benefits for families and communities in Colombia through the installation of biodigesters. The program includes 7 sizes of biodigesters to adjust to the different types of farmers. The program will focus on smallholder dairy farmers, especially farmers who typically use woodfuel, charcoal or LPG for their energy needs both in the household and productive uses in the farm, and who currently do not manage the manure generated by their animals and have either solid or liquid storage practices for this. The program will be implemented Colombia.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,96000,2025-04-02,2030-04-01,,Biogas - Heat,Small Scale,12634,https://assurance-platform.goldstandard.org/project-documents/GS12634,FarmCarbon Management S.à r.l.,REPORTING_ONLY,Colombia,CO,,,,,POA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",[],,,,goldstandard
4532,2024-06-07T13:41:51Z,2026-01-28T17:25:26Z,Sistema.bio Colomabian Carbon Program: Biodigesters in Colombia 2024-25,"Sistema.bio is a social enterprise that provides access to innovative biodigester technology, training and financing to address the challenges of poverty, food security, and climate change around the world. Sistema.bio manufactures and distributes high-quality, affordable biodigesters that enable farmers around the world to convert waste into energy and fertilizer. Sistema.bio works with farmers to ensure they become more sustainable, independent, and productive while mitigating the carbon emissions generated by agricultural activities. This project will provide a wide range of social, economic and environmental benefits for families and communities around the world through the installation of biodigesters. The project includes 7 sizes of biodigesters to adjust to the different types of farmers. The project will focus on smallholder dairy farmers, especially farmers who typically use woodfuel, charcoal or LPG for their energy needs both in the household and productive uses in the farm, and who currently do not manage the manure generated by their animals and have either solid or liquid storage practices for this. The project will be implemented in Colombia and installs approximately 3000 units in 2024 and 2025.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,96000,2025-04-02,2030-04-01,,Biogas - Heat,Large Scale,12635,https://assurance-platform.goldstandard.org/project-documents/GS12635,"SISTEMA.BIO, INC.",GS_VER,Colombia,CO,,,,,VPA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",[],4534.0,12634.0,"Sistema.bio Colombia Carbon Program: Waste management, clean energy and regenerative agriculture on family farms",goldstandard
4360,2023-11-15T21:16:34Z,2026-07-17T11:13:00Z,BioGrow Energy,"BioGrow Energy is an emissions reduction project located in the municipality of Mapiripán, department of Meta, Colombia. The project aims to certify carbon credits and contribute to climate change mitigation through the recovery of methane in the wastewater treatment of the productive process of palm oil extraction from a 7,000-hectare plantation and the subsequent use of biogas for energy generation. The methane recovery and energy generation will be done through the construction and operation of a wastewater treatment plant with biodigesters, open lagoons and power generators with a capacity of 528 m3 of wastewater per day.

The project will generate CH4 and CO2 emissions reduction, considering the baseline scenario of the projects was a not well treated or overloaded wastewater management system and use of diesel for energy generation, where CH4 and CO2 emissions were produced.",LISTED,Gold Standard for the Global Goals,10000,2022-10-24,2027-10-23,,Energy Efficiency - Agriculture Sector,Small Scale,12384,https://assurance-platform.goldstandard.org/project-documents/GS12384,POLIGROW COLOMBIA S.A.S,GS_VER,Colombia,CO,,,,,Standalone,"[{'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",[],,,,goldstandard
4276,2023-10-19T04:33:12Z,2026-05-22T06:26:58Z,Kardianuts Biochar Production in Colombia,"Conversion of cashew husk (biomass residues) into biochar to generate a permanent carbon sink through soil application (SDG 13), regenerate farmland (SDG 2) and create jobs in the local community (SDG 8).",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,369,2023-11-01,2028-10-31,Not provided,Other,Micro Scale,12234,https://assurance-platform.goldstandard.org/project-documents/GS12234,First Climate (Switzerland) AG,GS_VER,Colombia,CO,,,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 2: Zero Hunger', 'issuable_products': []}]",[],,,,goldstandard
4104,2023-05-23T01:16:49Z,2026-03-17T13:21:01Z,BaumInvest Flor Morado Reforestation Project Veraneo,"The ""BaumInvest Flor Morado Reforestation Project Veraneo"" is the first of the several voluntary project activities (VPA) in Colombia to be included in the broader framework of the Programme of Activities (PoA) ""BaumInvest Forest Landscape Restoration Programme"" (GS11707).
The ""BaumInvest Flor Morado Veraneo Reforestation Project"" aims to ecologically restore 1,069 hectares of forest on former cattle pastures located in the department of Vichada in the Orinoquia region, in the municipality of Cumaribo (Colombia).
The main objectives of the ""BaumInvest Flor Morado Reforestation Project Veraneo"" are to:

- mitigate climate change through long-term carbon sequestration through planted trees and regeneration of secondary forests.

contribute to sustainable socio-economic development and poverty reduction through long-term employment in the remote, rural, and poorly developed eastern plains of Colombia.

protect biodiversity by conserving natural habitats and improving habitat connectivity.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,24289,2023-05-02,2063-05-01,,A/R,Large Scale,12186,https://assurance-platform.goldstandard.org/project-documents/GS12186,BaumInvest AG,GS_VER,Colombia,CO,,,,,VPA,"[{'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",['EMISSION_REMOVAL'],3596.0,11707.0,BaumInvest Forest Landscape Restoration Programme,goldstandard
2818,2020-09-14T14:59:08Z,2020-12-10T09:53:34Z,San Juan de Pasto Clean Project,"The project consists of a ceramic factory located in Nariño, Colombia. The fuel utilized to burn and dry the ceramic pieces in the baseline scenario was non-renewable firewood, without management plan, which is a common practice in the region. The project activity reduces greenhouse gases (GHG) emissions through the substitution of non renewable firewood for renewable biomasses to generate thermal energy for the kilns.",LISTED,Gold Standard for the Global Goals,3788,2021-01-01,2025-01-01,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,"Biomass, or Liquid Biofuel - Heat",Microscale,10829,https://assurance-platform.goldstandard.org/project-documents/GS10829,Sustainable Carbon - Projetos Ambientais LTDA,VER,Colombia,CO,,,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",[],,,,goldstandard
1806,2019-03-27T13:54:47Z,2026-08-18T13:06:31Z,Vichada Climate Reforestation Project (PAZ) ,"The climate project is located in the Orinoco Department in Colombia and the main activity is reforestation. The objective of the project is the creation of close to nature forests with the main goal of producing high quality hardwoods combined with carbon sequestration, while stabilizing and restoring fragile and degraded areas in an economically, socially, and ecologically viable way. Overall, the climate project objectives are the establishment of profitable production- and conservation systems, enabling the enterprise to work in a beneficial way, with the complement of sustainable investment opportunities.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,1,2006-02-02,2035-02-02,,A/R,Large Scale,4221,https://assurance-platform.goldstandard.org/project-documents/GS4221,FORLIANCE,GS_VER,Colombia,CO,4.207808,-69.335847,,,Standalone,"[{'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 12: Responsible Production and Consumption', 'issuable_products': []}]",['EMISSION_REMOVAL'],,,,goldstandard
854,2019-03-27T13:52:02Z,2026-02-09T12:28:36Z,Barroso 20MW hydroelectric project,"Barroso hydroelectric project is a run-of-river renewable small hydroelectric plant located at the left margin of the Barroso River in the municipality of Salgar, Department of Antioquia, with an effective power generation capacity of 18.69 MW and a predicted supply of 131.24 GWh per year to feed the National Interconnected System of Colombia.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,51535,2016-01-29,2030-01-28,,"Small, Low - Impact Hydro",Large Scale,4822,https://assurance-platform.goldstandard.org/project-documents/GS4822,ISAGEN S.A. E.S.P.,GS_VER,Colombia,CO,5.9076,-75.892,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",['EMISSION_REDUCTION'],,,,goldstandard
670,2019-03-27T13:51:30Z,2020-05-07T18:24:56Z,Guanaquitas 9.74 MW hydroelectric project,"The Guanaquitas hydroelectric project is a small run-of-river renewable small hydroelectric plant with a total installed capacity of 9,74 MW, located at the left margin of the Guadalupe River in the jurisdiction of the municipalities of Santa Rosa de Osos and Gomez Plata, Department of Antioquia. The energygenerated will be sold to the National Interconnected System of Colombia.",LISTED,2.2,20149,2014-02-04,2021-02-04,AMS-I.D. Grid connected renewable electricity generation,"Small, Low - Impact Hydro",Small Scale,3932,https://assurance-platform.goldstandard.org/project-documents/GS3932,ALLCOT AG,VER,Colombia,CO,6.6597,-75.291,,,Standalone,"[{'name': 'Goal 9: Industry, Innovation and Infrastructure', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",[],,,,goldstandard
655,2019-03-27T13:51:26Z,2020-05-27T01:29:29Z,GS3510 Fundacion Natura Cookstove PoA_Satander,1st CPA,GOLD_STANDARD_CERTIFIED_DESIGN,2.2,8624,2014-08-15,2021-08-14,GS TPDDTEC v 2.,Energy Efficiency - Domestic,Microscale,3708,https://assurance-platform.goldstandard.org/project-documents/GS3708,FundaciÃ³n Natura Colombia,VER,Colombia,CO,6.3837,-73.3913,,,POA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}]",[],,,,goldstandard
629,2019-03-27T13:51:21Z,2026-06-15T08:40:43Z,"Vegachi, ecological restoration of degraded lands ","The project areas are located in the municipality of Vegachi in Antioquia department . Antioquia is located in the central northwestern part of Colombia bordering with the Caribbean Sea. Most of its territory is mountainous with some valleys, much of which is part of the Andes mountain range. The project is owned by Reforestadora San José Ltda. The project area consists of 800 ha. 207 ha have been planted between 2007 and 2008 with native species: Cedrela odorata, Cordia gerascantus, Swietenia macrhophylla, Tabebuia rosea. In addition 593 ha will be planted between 2012 and 2013 in the municipality of Tierralta in Cordoba department. This additional areas are in process to be purchased. Cordoba department is located to the north of this country in the Colombian Caribbean Region. Córdoba faces to the north with the Caribbean sea, to the northeast with the Sucre Department, east with the Bolívar Department and south with the Antioquia Department",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,53654,2015-03-01,2024-03-01,,A/R,Small Scale,3565,https://assurance-platform.goldstandard.org/project-documents/GS3565,South Pole Ltd SCV,GS_VER,Colombia,CO,6.758611,-74.874167,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 12: Responsible Production and Consumption', 'issuable_products': []}]",['EMISSION_REMOVAL'],,,,goldstandard
608,2019-03-27T13:51:18Z,2020-05-07T18:19:39Z,Fundacion Natura Cookstove POA,This Program of Activities aims for reducing the consumption of firewood by constructing and installing efficient cooking stoves in rural communities of the Country of Colombia.,GOLD_STANDARD_CERTIFIED_DESIGN,2.2,0,2014-09-03,2021-09-03,GS TPDDTEC v 1.,Energy Efficiency - Domestic,Small Scale,3510,https://assurance-platform.goldstandard.org/project-documents/GS3510,FundaciÃ³n Natura Colombia,VER,Colombia,CO,6.419167,-73.328611,,,POA,"[{'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 3: Good Health and Well-Being', 'issuable_products': [{'name': 'Averted Disability Adjusted Life Year', 'abbreviation': 'ADALY'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",[],,,,goldstandard
570,2019-03-27T13:51:12Z,2020-05-26T15:50:21Z,GEN+: Alejandría Small Hydropower (SHP) Run-of-the-River CDM Project Bundle,"Run-of-the-River CDM Project is a greenfield project carried out in the Department of Antioquia, Colombia, to be built and operated by GEN+. It consists of a Run-of-the-River Small Hydroelectric Power (“SHP"") Plant with an installed capacity of 15MW feeding the National Electricity Grid with approximately 97.52 GWh/year.",LISTED,Gold Standard for the Global Goals,34153,2014-07-08,2019-07-08,,"Small, Low - Impact Hydro",Small Scale,3375,https://assurance-platform.goldstandard.org/project-documents/GS3375,CAEMA,VER,Colombia,CO,75.1411,6.3769,,,VPA,"[{'name': 'Goal 9: Industry, Innovation and Infrastructure', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",[],556.0,3349.0,Programme of Activities for the Development and Promotion of Renewable Energy,goldstandard
556,2019-03-27T13:51:09Z,2021-11-19T07:28:22Z,Programme of Activities for the Development and Promotion of Renewable Energy,"The purpose of this programme of activities is to invest in and create new clean energy projects that reduce Colombia`s CO2 emissions as well as promoting the culture of clean energy in various municipalities in Colombia. This PoA has been created by GEN+, a company which generates and promotes clean energy.",LISTED,Gold Standard for the Global Goals,61539,2012-11-28,2022-11-27,,"Small, Low - Impact Hydro",Small Scale,3349,https://assurance-platform.goldstandard.org/project-documents/GS3349,CAEMA,VER,Colombia,CO,6.4,75.55,,,POA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",[],,,,goldstandard
520,2019-03-27T13:51:02Z,2024-02-01T15:09:43Z,"Conservation and reforestation of degraded areas in Barbosa, Colombia","The Project establishes a reforestation of native and non-native tree species in the municipality of Barbosa-Antioquia. The species were selected taking into account their adaptability, ecologic characteristics, and their economic importance for the region. The project attempts to the reforestation of 98, 59 hectares of which 59,39 have been already planted and the remaining 30 ha will be reforested by the first half of the year 2014. 79 hectares of the project will be covered mainly by Pinus oocarpa and Pinus maximinioi and by native species including Guadua angustifolia, Retrophyllum rospigliosii, and Persea caerulea. Additionally The project attempts to the establishment of 14,7 has of Eucalytus grandis",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,10446,2011-10-03,2051-10-03,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,A/R,Small Scale,3025,https://assurance-platform.goldstandard.org/project-documents/GS3025,Deactivated Projects,VER,Colombia,CO,6.421111,-75.400833,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 12: Responsible Production and Consumption', 'issuable_products': []}]",['EMISSION_REMOVAL'],,,,goldstandard
228,2019-03-27T13:50:08Z,2020-05-07T18:22:07Z,Caruquia 9.76 MW hydroelectric project,"The Caruquia hydroelectric project is a small run-of-river   renewable small hydroelectric plant with a total  installed capacity of 9,76 MW, located at the left margin of   the Guadalupe River in the municipality of  Santa Rosa de Osos, Department of Antioquia. The energy   generated will be sold to the National  Interconnected System of Colombia.",LISTED,Gold Standard for the Global Goals,20127,2011-04-18,2018-01-16,AMS-I.D. Grid connected renewable electricity generation,"Small, Low - Impact Hydro",Small Scale,1373,https://assurance-platform.goldstandard.org/project-documents/GS1373,ALLCOT AG,GS CER,Colombia,CO,6.643161,-75.337511,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 9: Industry, Innovation and Infrastructure', 'issuable_products': []}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}]",[],,,,goldstandard
172,2019-03-27T13:49:58Z,2020-05-07T18:28:12Z,Caruquia 9.76 MW hydroelectric project Pre-CDM VERs,"The Caruquia hydroelectric project is a small run-of-river   renewable small hydroelectric plant with a total  installed capacity of 9,76 MW, located at the left margin of   the Guadalupe River in the municipality of  Santa Rosa de Osos, Department of Antioquia. The energy   generated will be sold to the National  Interconnected System of Colombia.",LISTED,Gold Standard for the Global Goals,20127,2010-01-28,2019-01-27,AMS-I.D. Grid connected renewable electricity generation,"Small, Low - Impact Hydro",Small Scale,1298,https://assurance-platform.goldstandard.org/project-documents/GS1298,ALLCOT AG,VER,Colombia,CO,6.643161,-75.337511,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 9: Industry, Innovation and Infrastructure', 'issuable_products': []}]",[],,,,goldstandard
57,2019-03-27T13:49:38Z,2026-07-27T12:46:02Z,Santander and Las Tapias Renewable Energy Project,"This is the bundled project of Santander and Las Tapias 3   ceramics, which are both red ceramic factories located in   Colombia. These factories produce ceramic devices, destined   mainly for the regional market in the metropolitan area of   Bogotá.  This project will generate renewable energy from biomass   resources, while reducing GHG emissions by the displacement of   the use of coal for thermal energy production. The project   also results in energy efficiency improvements, as the   ceramics have replaced their inefficient kilns that existed   before the project initiation by more efficient kilns.  The main objective of this project is to contribute for a   sustainable energy matrix in the Colombian ceramic sector,   which has historically relied upon the use of fossil fuels.",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,18477,2013-04-01,2027-03-31,GS SS Ecologically Sound Fuel Switch to Biomass v1.,"Biomass, or Liquid Biofuel - Heat",Small Scale,1074,https://assurance-platform.goldstandard.org/project-documents/GS1074,Sustainable Carbon - Projetos Ambientais LTDA,GS_VER,Colombia,CO,4.520464,-74.198472,,,Standalone,"[{'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",['EMISSION_REDUCTION'],,,,goldstandard
